"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, comments and shares",Reactions,Comments,Shares,"Total clicks","Link clicks","Other clicks","Matched audience targeting consumption (Photo Click)","Matched audience targeting consumption (Video Click)","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1432592678914631,100064917362794,"Virtu Ferries Ltd.","😃𝗪𝗲 𝗵𝗮𝘃𝗲 𝗮 𝘄𝗶𝗻𝗻𝗲𝗿.

Congratulations @mariomifsud You're our May giveaway winner.
To everyone who entered: thank you. Your reasons for choosing Virtu gave us a lot to smile about.

Stay tuned, our next giveaway is coming soon",,0,"06/02/2026 07:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid02o6cF7WX1w81g9cGRohispXj1YpjWJCnMpWRVYFHtZQoYUgem4WQ7NcTzRYms1uojl,0,0,Photos,,,,,Lifetime,6246,4165,26,26,0,0,166,,84,82,,,,,,
1433649612142271,100064917362794,"Virtu Ferries Ltd.","𝗢𝗙𝗙𝗘𝗥𝗦: 𝗦𝘂𝗺𝗺𝗲𝗿 𝗶𝗻 𝗦𝗶𝗰𝗶𝗹𝘆 𝗵𝗮𝘀 𝗲𝗻𝘁𝗲𝗿𝗲𝗱 𝘁𝗵𝗲 𝗰𝗵𝗮𝘁… 𝗮𝗻𝗱 𝘀𝗼 𝗵𝗮𝘃𝗲 𝗼𝘂𝗿 𝗣𝗲𝗮𝗸 𝗦𝗲𝗮𝘀𝗼𝗻 𝗢𝗳𝗳𝗲𝗿𝘀.

Day Trip, if one day is enough.
Multi-Day, if it clearly is not.

*Offers apply on selected voyages for travel between 1 June and 30 September 2026.

*Check eligible dates, blackout periods, and full conditions before booking.

See the offers: https://www.virtuferries.com/offers/sicily-special-offers/1",,0,"06/03/2026 10:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid02c7hJ2nYVXAjtB5eeTyhphXMRYk5uKjvLWRMbVf4NQpDJXoJk4gxz8EEs2hG7gYUGl,0,0,Photos,,,,,Lifetime,245716,68538,51,45,4,2,1126,84,347,695,,,,,,
1434212442085988,100064917362794,"Virtu Ferries Ltd.","☀️𝗦𝗶𝗰𝗶𝗹𝘆 𝗶𝘀 𝗿𝗲𝗮𝗱𝘆 𝗳𝗼𝗿 𝗽𝗲𝗮𝗸 𝘀𝗲𝗮𝘀𝗼𝗻.

Coffee is being poured, 
Umbrellas are going up, 
And summer has started moving.
Now the offers are ready too.

👉Book Your Trip: www.virtuferries.com","☀️𝗦𝗶𝗰𝗶𝗹𝘆 𝗶𝘀 𝗿𝗲𝗮𝗱𝘆 𝗳𝗼𝗿 𝗽𝗲𝗮𝗸 𝘀𝗲𝗮𝘀𝗼𝗻.

Coffee is being poured, 
Umbrellas are going up, 
And summer has started moving.
Now the offers are ready too.

👉Book Your Trip: www.virtuferries.com",36,"06/04/2026 02:00",N/A,https://www.facebook.com/reel/2496142454220267/,1,0,Videos,,,,,Lifetime,47495,26858,33,32,0,1,67,15,37,,15,94518.702,2.151,0,0,0
1435024005338165,100064917362794,"Virtu Ferries Ltd.","🎁 𝗚𝗜𝗩𝗘𝗔𝗪𝗔𝗬.

We know you love Sicily. That’s why we’re giving you the chance to travel for free.

𝗪𝗛𝗔𝗧 𝗬𝗢𝗨 𝗖𝗔𝗡 𝗪𝗜𝗡
🏷️ €500 Sicilia Outlet Village Shopping Voucher 
🚢 2 Return Passenger Tickets (excluding port charges) + Light Car

𝗛𝗢𝗪 𝗧𝗢 𝗘𝗡𝗧𝗘𝗥
👍 Follow our page
🔁 Like & share this post
💬 In your own words, tell us why you love Sicily. The beaches, the food, the towns, the road trips, whatever comes to mind.

ℹ️ Competition closes 30.06. Winner selected by random draw.",,0,"06/05/2026 00:01",N/A,https://www.facebook.com/virtuferries/posts/pfbid0ZF3MuW5URVhv2BvvynQiYHqGDtFsuJbKrThsiDMfqK9pjM6paJztX6oiyV98141tl,0,0,Photos,,,,,Lifetime,424304,124484,2101,898,612,591,2640,6,2302,332,,,,,,
1435968508577048,100064917362794,"Virtu Ferries Ltd.","🗓️ 𝗦𝗶𝗰𝗶𝗹𝘆 𝘀𝗵𝗼𝘂𝗹𝗱 𝗳𝗶𝘁 𝘆𝗼𝘂𝗿 𝘄𝗲𝗲𝗸, 𝗻𝗼𝘁 𝘁𝗵𝗲 𝗼𝘁𝗵𝗲𝗿 𝘄𝗮𝘆 𝗿𝗼𝘂𝗻𝗱.

With daily departures, early morning options, evening crossings, weekend trips, and seasonal offers now live, you have more ways to make Sicily fit around your plans.

This week’s schedule is now live.",,0,"06/06/2026 00:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid02GFdwPcCrJznxhtGwmQEtWV5mR8SrkiHMNdJHt3v4PwEmu97hNxpRT61SnZLi4WCrl,0,0,Photos,,,,,Lifetime,3850,2408,18,14,1,3,74,,23,51,,,,,,
1436889215151644,100064917362794,"Virtu Ferries Ltd.","For some, it’s the comfort. For others, it’s the space, the service, or the way the crossing fits the trip.

But you all seem to agree on one thing: travelling feels easier with Virtu Ferries.

Grazzi u il-festa it-tajba ❤️💛💙",,0,"06/07/2026 00:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid0xkkNRT6Lp5r9gmwYX7BgdNaWRUzQwho1rVRjV35TRXYQd9ACdm76pccQnSPqVaCTl,0,0,Photos,,,,,Lifetime,393803,93931,118,105,12,1,883,374,434,75,,,,,,
1438743831632849,100064917362794,"Virtu Ferries Ltd.","For centuries, the sea between Malta and Sicily has connected people, communities, and cultures.

This research project by AP Valletta explores that shared heritage through the stories and spaces found along both waterfronts.",,0,"06/09/2026 02:13",N/A,https://www.facebook.com/virtuferries/posts/pfbid02kpga7vSNJbfsgAvUqmYPb9dze5J3YoKGVgoGrG92GJ3zPJhuBGWxkkgE5djqvyFfl,0,1,Videos,,,,,Lifetime,1216,804,0,0,0,0,4,,4,,,,,,,
1439028608271038,100064917362794,"Virtu Ferries Ltd.","🌊 𝗡𝗼𝘁 𝗮𝗹𝗹 𝗯𝗲𝗮𝗰𝗵𝗲𝘀 𝗮𝗿𝗲 𝗲𝗾𝘂𝗮𝗹.

A Blue Flag beach means clean water, high standards and a destination that has earned the flag.

From Pozzallo, Sicily has plenty worth adding to your list.","🌊 𝗡𝗼𝘁 𝗮𝗹𝗹 𝗯𝗲𝗮𝗰𝗵𝗲𝘀 𝗮𝗿𝗲 𝗲𝗾𝘂𝗮𝗹.

A Blue Flag beach means clean water, high standards and a destination that has earned the flag.

From Pozzallo, Sicily has plenty worth adding to your list.",16,"06/09/2026 09:01",N/A,https://www.facebook.com/reel/2123213815203734/,1,0,Videos,,,,,Lifetime,54290,32066,39,37,1,1,86,15,47,,24,122819.468,2.473,0,0,0
1440864164754149,100064917362794,"Virtu Ferries Ltd.","𝗧𝗵𝗶𝘀 𝗶𝘀 𝘆𝗼𝘂𝗿 𝗿𝗲𝗺𝗶𝗻𝗱𝗲𝗿 𝘁𝗵𝗮𝘁 𝗮 𝗹𝗼𝗻𝗴 𝘄𝗲𝗲𝗸𝗲𝗻𝗱 𝗶𝘀 𝗰𝗼𝗺𝗶𝗻𝗴.

Sicily would like a word .. and with Peak Season Offers now live, it has a pretty good argument.",,0,"06/11/2026 10:30",N/A,https://www.facebook.com/virtuferries/posts/pfbid02zWkR4HUadtJwCmKes77UihJXCwDiXQNu5bB3jDPT1ZTQeeS85JRRPSM8Y5pzURwjl,0,0,Photos,,,,,Lifetime,68527,41123,27,25,1,1,303,88,198,17,,,,,,
1441612948012604,100064917362794,"Virtu Ferries Ltd.","Dad doesn’t need another gift.
He needs a trip to Sicily.

🫢Psst… return fares from €63.60.",,0,"06/12/2026 08:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid0252drVWEJJGo8MGWnUGGZXKNF6od67NQujS8M2yCb7Zv92t9wE34MSSPzEfAdbPPSl,0,0,Photos,,,,,Lifetime,21550,15356,27,21,3,3,52,12,33,7,,,,,,
