"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18161193949449197,17841403495981996,virtuferrieslimited,"Virtu Ferries","📸The Saint John Paul II in all its glory, captured by @voyagair.shipspotting",0,"05/03/2026 04:01",https://www.instagram.com/p/DX38OBrjRZj/,"IG carousel",,Lifetime,956,465,38,0,1,0,2
18335737504219180,17841403495981996,virtuferrieslimited,"Virtu Ferries","Less than 50 days until summer in Sicily 2026 is underway .Not that anyone’s counting. (We are) 🌊",0,"05/04/2026 09:30",https://www.instagram.com/p/DX7Gp2AjoeZ/,"IG carousel",,Lifetime,907,440,14,0,0,0,0
18098940125280661,17841403495981996,virtuferrieslimited,"Virtu Ferries","Went for a weekend. Came back with 400 photos and a serious gelato problem.

No regrets. 📱☀️",4,"05/13/2026 09:00",https://www.instagram.com/reel/DYSOb-Pj3sf/,"IG reel",,Lifetime,73659,89038,84,7,4,0,11
18124810117618875,17841403495981996,virtuferrieslimited,"Virtu Ferries","This isn't AI. This is a street in Sicily.

The annual Infiorata di Noto will be held from the 15th May till 19th May. For the full programme visit https://www.infioratadinoto.it/",0,"05/15/2026 04:00",https://www.instagram.com/p/DYW1pSyDT_o/,"IG carousel",,Lifetime,1452,660,21,1,0,0,1
18099462587041491,17841403495981996,virtuferrieslimited,"Virtu Ferries","We don't make the rules. We just follow them 🟦",0,"05/16/2026 09:00",https://www.instagram.com/p/DYZ8xVvAZST/,"IG image",,Lifetime,1331,754,12,0,0,0,1
18090411206261566,17841480008076202,palcommitalia,PalComm,"@palcommitalia x @virtuferrieslimited 
Your next escape is closer than you think.

PalComm | One Voice, Every Channel
for @lasicilia.it",0,"05/18/2026 09:16",https://www.instagram.com/p/DYfIGJio2DI/,"IG image",,Lifetime,3727,,21,2,,0,0
18109226756496876,17841403495981996,virtuferrieslimited,"Virtu Ferries","Make this the summer your group chat dream trip finally happens 🕺💃",23,"05/22/2026 09:01",https://www.instagram.com/reel/DYpZrMvD_1G/,"IG reel",,Lifetime,621,468,6,0,0,0,0
18102987292966678,17841403495981996,virtuferrieslimited,"Virtu Ferries","We are sooooooooooooo ready for summer in Sicily 2026.
The itineraries. The beaches. The pasta. The long evenings.",0,"05/23/2026 04:00",https://www.instagram.com/p/DYrcDGJDQwz/,"IG carousel",,Lifetime,895,392,9,1,0,0,0
17996460101778740,17841403495981996,virtuferrieslimited,"Virtu Ferries","Some book for the speed.
Some book for the flexibility.
Some book because they can bring their car.

Whatever the reason, we’ll see you on board.",0,"05/24/2026 04:00",https://www.instagram.com/p/DYuA0vWFC0Y/,"IG image",,Lifetime,980,564,7,0,0,0,0
18122120647712503,17841403495981996,virtuferrieslimited,"Virtu Ferries","Get ready for the best Summer of your life ☀️",15,"05/25/2026 09:01",https://www.instagram.com/reel/DYxIC6KDLp7/,"IG reel",,Lifetime,582,592,9,0,0,1,0
18092994323348810,17841403495981996,virtuferrieslimited,"Virtu Ferries","2,500 years old and still the most impressive thing in the room.",0,"05/26/2026 04:01",https://www.instagram.com/p/DYzKg3xgiR9/,"IG carousel",,Lifetime,7687,32317,8,0,1,1,0
18064199765441613,17841403495981996,virtuferrieslimited,"Virtu Ferries","Healing as a child: a plaster and a biscuit.

Healing as an adult: Sicily. Immediately.",0,"05/30/2026 04:00",https://www.instagram.com/p/DY9dprNgc1i/,"IG image",,Lifetime,857,500,4,0,0,0,0
17951944347071468,17841403495981996,virtuferrieslimited,"Virtu Ferries","🌊 The crossing takes 1 hour 45 minutes, but the work behind it never stops.

Thank you to everyone who keeps Virtu Ferries moving. We appreciate you today, and every day ❤️💙💛",0,"05/01/2026 04:01",https://www.instagram.com/p/DXyyrvWGxUK/,"IG carousel",,Lifetime,2251,1043,52,1,0,0,3
18123517663616517,17841403495981996,virtuferrieslimited,"Virtu Ferries","🍝 72 hours. One rule: eat everything.",0,"05/02/2026 04:00",https://www.instagram.com/p/DX1XZDgjOW3/,"IG carousel",,Lifetime,2188,980,21,5,0,1,10
